,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
99,FALSE,mp-560326,Ba5B3CNO9,Orthorhombic,C222_1,20,38,0.022954233,-2.813850678,FALSE,642.8527754,4.593126544,3.3351,FALSE,FALSE,NM,0.0003068,,,,,,,,,,,,,,,
100,TRUE,mp-699412,B3H52C16(NO)12,Orthorhombic,Cmm2,35,95,0.329256023,-0.419669262,FALSE,1233.839181,0.857415873,0.002,FALSE,FALSE,FM,6.913512,,,,,,,,,,,,,,,
101,FALSE,mp-1203789,MnB4H24(C2N)2,Tetragonal,I-42d,122,140,0.195214623,-0.166462828,FALSE,1312.216303,1.004403868,1.9167,FALSE,FALSE,FM,20.1353884,,,,,,,,,,,,,,,
102,FALSE,mp-1195904,AlZnB5H21C6(NO2)5,Monoclinic,Cc,9,98,0.040749923,-1.158872903,FALSE,890.6131215,1.751516539,4.6496,TRUE,FALSE,NM,0.0013368,,,,,,,,,,,,,,,
103,FALSE,mp-723094,B5H12C2NO10,Monoclinic,C2/c,15,120,0.017251435,-1.60323823,FALSE,1266.612697,1.385328153,5.6887,FALSE,FALSE,NM,0.0004539,,,,,,,,,,,,,,,
104,FALSE,mp-1195233,AlZnB5H20C5(NO2)5,Triclinic,P1,1,94,0.038339726,-1.205617407,FALSE,877.3317013,1.728750585,4.5107,FALSE,FALSE,NM,0.0005527,,,,,,,,,,,,,,,
105,FALSE,mp-1195007,AlZnB5H16C4(N2O5)2,Orthorhombic,Pbca,61,328,0.034888987,-1.342399556,FALSE,3168.466113,1.788741976,4.4958,TRUE,FALSE,NM,0.0002151,,,,,,,,,,,,,,,
106,FALSE,mp-600191,B5H15C3N,Monoclinic,P2_1/c,14,192,0.178417865,-0.160715391,FALSE,1746.296181,0.906868743,4.1616,FALSE,FALSE,NM,0.019143,,,,,,,,,,,,,,,
107,FALSE,mp-1202641,UB6H36(C2N)3,Monoclinic,P2_1/c,14,208,0.187929388,-0.213290743,FALSE,1967.520307,1.53017851,0.7744,TRUE,FALSE,FM,12.2876445,,,,,,,,,,,,,,,
108,FALSE,mp-1201564,B6H13CN4,Triclinic,P-1,2,48,0.345309468,-0.258054981,FALSE,430.4531646,1.126486607,5.2596,FALSE,FALSE,NM,0.0018129,,,,,,,,,,,,,,,
109,FALSE,mp-1196538,UB6H36(C2N)3,Monoclinic,P2_1/c,14,208,0.18584121,-0.215378921,FALSE,2047.178256,1.470637588,0.6279,FALSE,FALSE,FM,12.1847984,,,,,,,,,,,,,,,
110,FALSE,mp-560159,B6H21C5N2O,Triclinic,P-1,2,70,0.222179151,-0.284220557,FALSE,620.2929705,1.017799322,4.4939,FALSE,FALSE,NM,0.0002859,,,,,,,,,,,,,,,
111,TRUE,mp-1195917,NaB7H14C2(NO7)2,Triclinic,P-1,2,80,0.042081015,-1.698920517,FALSE,721.2202286,1.790367914,4.7153,FALSE,FALSE,NM,0.0028273,,,,,,,,,,,,,,,
112,FALSE,mp-1199287,B9H25C4NCl,Monoclinic,P2_1/c,14,160,0.173607906,-0.167027862,FALSE,1795.398676,0.813899664,3.6529,FALSE,FALSE,NM,0.0943151,,,,,,,,,,,,,,,
